"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"Cheme01",0,3,0,0,96,0,0,1,0,0,0,0,0,0,0
"Clark01",0,44,0,0,3,0,0,3,8,0,18,0,24,0,0
"DEVA01",0,99,0,0,1,0,0,0,0,0,0,0,0,0,0
"DEVA02",0,2,0,0,0,0,0,0,1,0,33,0,64,0,0
"DEVA03",0,99,0,0,1,0,0,0,0,0,0,0,0,0,0
"Jawbone01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Jawbone02",2,0,0,0,0,0,0,0,1,7,0,85,0,6,0
"Jawbone03",1,0,0,1,0,0,76,0,0,22,0,0,0,0,0
"Jawbone04",1,0,0,2,0,0,85,0,0,11,0,0,0,0,0
"Jawbone05",0,0,0,0,0,0,0,0,2,0,0,0,0,95,3
"Jawbone06",0,0,0,0,0,0,1,1,3,4,0,1,0,86,4
"JTNP01",0,0,28,0,2,71,0,0,0,0,0,0,0,0,0
"JTNP02",0,0,0,0,4,9,0,84,0,0,0,0,1,0,2
"JTNP03",0,0,0,0,0,0,0,0,0,0,0,0,2,91,7
"JTNP04",0,0,0,0,0,1,0,0,23,0,0,13,0,59,4
"JTNP05",3,0,0,59,0,0,15,0,0,22,0,0,0,1,0
"JTNP06",0,0,0,1,0,0,0,0,10,11,7,16,1,54,0
"JTNP07",0,0,0,3,0,0,0,0,0,10,0,0,6,80,0
"JTNP08",0,0,0,0,0,0,0,0,1,4,0,6,0,90,0
"JTNP09",0,0,0,0,0,0,0,0,1,1,0,0,2,91,4
"JTNP10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
"JTNP11",0,0,0,0,0,0,0,2,0,0,0,0,32,24,42
"JTNP12",0,18,0,1,0,0,1,0,62,0,17,0,0,0,0
"JTNP13",0,6,0,24,0,0,67,0,0,0,3,0,0,0,0
"JTNP14",0,0,0,0,0,0,0,0,75,0,0,8,0,17,0
"JTNP15",0,0,0,94,0,0,2,0,0,2,1,0,1,0,1
"JVOHV01",0,0,0,1,0,0,0,0,0,0,0,0,0,0,98
"JVOHV02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"JVOHV03",0,0,0,0,0,4,0,0,0,0,0,0,0,0,96
"JVOHV05",0,0,0,65,0,0,1,0,0,22,3,0,3,5,0
"JVOHV06",0,0,0,0,0,0,0,0,29,1,7,19,0,44,0
"JVOHV07",1,0,0,1,0,0,3,0,0,96,0,0,0,0,0
"JVOHV08",1,0,0,0,0,0,0,0,0,14,0,73,0,12,0
"LadySnow",18,0,0,0,0,0,82,0,0,0,0,0,0,0,0
"Maryjane",94,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"MD01",0,0,0,0,0,1,0,1,0,1,0,0,2,34,61
"MD02",0,0,0,0,0,2,0,69,5,0,3,0,7,8,5
"MD03",0,0,0,0,0,0,0,1,0,0,26,0,72,1,0
"MD04",0,0,0,1,0,0,0,0,2,0,87,0,10,0,0
"MD05",0,0,0,0,0,1,0,99,0,0,0,0,0,0,0
"MD06",0,0,0,0,0,95,0,4,1,0,0,0,0,0,1
"MD07",0,0,0,0,0,0,0,0,0,30,0,2,1,66,0
"MD08",1,0,0,0,0,0,0,0,0,43,0,44,0,12,0
"MD09",0,0,0,0,0,0,0,99,0,0,0,0,0,0,0
"MD10",0,0,0,0,0,0,0,87,0,0,1,0,10,0,2
"MD11",0,0,0,0,0,4,0,75,5,0,5,0,2,8,2
"MD12",0,0,0,1,0,0,1,58,2,0,7,0,17,14,1
"MD13",0,0,99,0,1,0,0,0,0,0,0,0,0,0,0
"MD14",0,0,0,0,1,20,0,77,0,0,0,0,0,0,1
"MD15",0,0,98,0,1,1,0,0,0,0,0,0,0,0,0
"MDWC01",0,0,1,0,0,98,0,1,0,0,0,0,0,0,0
"MDWC02",0,0,0,0,0,95,0,0,0,0,0,0,0,0,5
"MDWC03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"MDWC04",0,0,0,0,0,46,0,0,0,0,0,0,0,0,54
"MDWC06",0,0,0,0,0,0,0,0,0,3,1,0,10,86,0
"MDWC07",75,0,0,6,0,0,5,0,0,15,0,0,0,0,0
"MDWC08",97,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"MOJA01",0,0,0,0,0,0,0,0,6,0,0,1,0,79,14
"MOJA02",0,1,0,11,0,0,84,0,0,0,4,0,0,0,0
"MOJA03",0,0,0,0,0,0,0,0,78,0,21,0,0,0,0
"MOJA04",0,0,0,0,0,0,0,1,0,0,90,0,8,0,0
"MOJA05",0,0,0,0,0,0,0,0,0,18,0,1,0,80,0
"MOJA06",0,0,95,0,3,2,0,0,0,0,0,0,0,0,0
"MOJA07",0,0,16,0,1,83,0,0,0,0,0,0,0,0,0
"MOJA09",2,0,0,9,0,0,16,0,0,72,0,0,0,0,0
"MOJA10",0,0,0,0,0,0,0,0,17,2,0,67,0,15,0
"MountMummy",84,0,0,0,0,0,0,0,0,0,0,16,0,0,0
"RobbersFire",47,0,0,0,0,0,52,0,0,1,0,0,0,0,0
"ShadowMtns",0,0,0,0,0,0,0,0,0,0,1,0,48,46,4
"DesertCenter",0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
"FordDayLake",0,0,80,0,20,0,0,0,0,0,0,0,0,0,0
"Essex",0,0,0,0,0,2,0,68,2,0,9,0,6,12,0
"DeathValleyJunction",0,0,0,0,1,7,0,3,0,0,0,0,6,0,82
"Charkiln",98,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"HayfordPeak",61,0,0,1,0,0,37,0,0,2,0,0,0,0,0
"KyleCanyon",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LovellSummit",98,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pinenut",91,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"TroughSPRINGS",94,0,0,0,0,0,1,0,0,0,0,5,0,0,0
"SandHollow",0,0,0,0,0,0,0,0,0,11,0,2,0,23,64
"areal.proportion",2,10,7,5,8,6,3,8,4,5,7,3,12,10,10
"ideal.number",1,4,3,2,4,3,1,4,2,2,3,1,5,4,4
"current.number",10,3,4,3,2,5,6,9,3,2,2,4,3,13,11
"redundant.number",-9,1,-1,-1,2,-2,-5,-5,-1,0,1,-3,2,-9,-7
