pedon_key,pedon_id,sampled_name,layer_key,layer_sequence,hzn_top,hzn_bot,hzn_desgn,texture,sand_tot,silt_tot,clay_tot,db_satiated,oc,oc_qc
URI0708PJ,RI009-2007-008-PJ-P,Fort Neck,RI0708PJ5,5,66,98,3Cse3,lcos,86,12,2,1.11,0.23,mineral
URI0708PJ,RI009-2007-008-PJ-P,Fort Neck,RI0708PJ6,6,98,130,3Cse4,cos,95,3,2,1.25,0.28,mineral
URI0708PJ,RI009-2007-008-PJ-P,Fort Neck,RI0708PJ7,7,130,152,3Cse5,cos,96,2,2,1.44,0.26,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ1,1,0,36,CA,fs,96.8,3.2,0,1.2,0.36,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ2,2,36,46,Cg1,fs,96.4,2.4,1.2,1.41,0.23,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ3,3,46,56,Cg2,fs,91.3,-0.4,9.1,1.22,0.28,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ4,4,56,63,Ab,sil,34.8,65.2,0,0.52,3.89,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ5,5,63,72,Cg,fs,97.6,2.3,0.1,1.23,0.29,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ6,6,72,95,CA',fs,98.1,1.2,0.7,1.31,0.36,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ7,7,95,105,C'g,fs,99.1,0.9,0,1.24,0.26,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ8,8,105,122,CA'',lfs,83.5,16.5,0,1.41,0.51,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ9,9,122,138,C''g,fs,96.8,3.2,0,1.32,0.34,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ10,10,138,174,CAse,fs,96.8,3.2,0,1.39,0.42,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ11,11,174,238,C''g,fs,95.6,3.4,1,1.17,0.47,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ12,12,238,256,AC,fs,87.1,12.9,0,1.15,0.66,mineral
URI0710PJ,RI009-2007-010-PJ-P,Massapog,RI0710PJ13,13,256,278,C''g,fs,98.4,1.6,0,1.19,0.3,mineral
URI0711PJ,RI009-2007-011-PJ-P,Anguilla,RI0711PJ1,1,0,15,A,lfs,,,,1.35,0.51,mineral
URI0711PJ,RI009-2007-011-PJ-P,Anguilla,RI0711PJ2,2,15,54,ACse,fs,,,,1.4,0.59,mineral
URI0711PJ,RI009-2007-011-PJ-P,Anguilla,RI0711PJ3,3,54,79,Cg1,s,,,,1.35,0.14,mineral
URI0711PJ,RI009-2007-011-PJ-P,Anguilla,RI0711PJ4,4,79,86,Cg2,sl,,,,1.44,0.31,mineral
URI0711PJ,RI009-2007-011-PJ-P,Anguilla,RI0711PJ5,5,86,98,C1,ls,,,,1.38,0.27,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ1,1,0,9,Ase,l,50.8,36.7,12.5,0.72,2.38,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ2,2,9,20,ACse,vfsl,55.7,34.9,9.4,0.81,2.36,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ3,3,20,46,Cseg1,vfsl,64.7,27.8,7.5,1.08,1.61,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ4,4,46,56,Cseg2,l,47.9,39.8,12.3,0.88,2.45,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ5,5,56,93,Cseg3,sil,29.7,55.9,14.4,0.82,2.33,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ6,6,93,130,Cseg4,lvfs,77.9,18.5,3.6,1.47,0.44,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ7,7,130,190,Cseg5,vfs,94.1,4.4,1.5,1.28,0.38,mineral
URI0712PJ,RI009-2007-012-PJ-P,Marshneck,RI0712PJ8,8,190,224,Cseg6,vfs,86.9,10.6,2.5,1.37,0.19,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ1,1,0,15,A,lfs,80.8,12.8,6.4,1.04,1.18,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ2,2,15,28,CAse,fs,92.1,4.7,3.2,0.94,1.23,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ3,3,28,59,Cse,vfs,88.5,9.3,2.2,1.15,0.87,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ4,4,59,71,CA'se,lfs,79.8,15.8,4.4,0.92,1.38,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ5,5,71,96,C'se,s,93.6,5,1.4,1.38,0.99,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ6,6,96,161,Cg1,vfsl,59.9,39.2,0.9,0.55,3.11,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ7,7,161,183,Cg2,ls,81.5,12.3,6.2,0.71,1.63,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ8,8,183,200,Cg3,s,100.9,-2.3,1.4,1.26,0.21,mineral
URI0713PJ,RI009-2007-013-PJ-P,Anguilla,RI0713PJ9,9,200,221,Cg4,fs,89.4,9.5,1.1,0.95,1.2,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ1,1,0,19,Ase,vfsl,52.2,40.7,7.1,0.79,1.87,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ2,2,19,41,CAse,lfs,78.1,19,2.9,1.11,0.9,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ3,3,41,56,Cse,s,,,,1.09,0.5,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ4,4,56,81,CA'se,vfsl,65.7,29.8,4.5,0.72,0.96,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ5,5,81,97,C'se1,lfs,73.2,24,2.8,0.9,0.49,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ6,6,97,152,C'se2,fs,92.2,2.9,4.9,1.17,0.57,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ7,7,152,223,C'se3,lfs,,,,1.1,0.97,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ8,8,223,276,C'se4,vfsl,73.8,21.4,4.8,0.95,1.57,mineral
URI0714PJ,RI009-2007-014-PJ-P,Marshneck,RI0714PJ9,9,276,303,C'se5,vfsl,63.7,29.4,6.9,0.91,2.13,mineral
URI0801NP,RI009-2008-001-NP,Nagunt,RI0801NP1,1,0,18,C,s,,,,1.25,0.21,mineral
URI0801NP,RI009-2008-001-NP,Nagunt,RI0801NP2,2,18,28,Cse1,s,,,,1.41,0.22,mineral
URI0801NP,RI009-2008-001-NP,Nagunt,RI0801NP3,3,28,62,Cse2,fs,,,,1.31,0.13,mineral
URI0801NP,RI009-2008-001-NP,Nagunt,RI0801NP4,4,62,113,Cse3,s,,,,1.37,0.13,mineral
URI0801NP,RI009-2008-001-NP,Nagunt,RI0801NP5,5,113,146,Cg,fs,,,,1.19,0.17,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP1,1,0,16,C,s,,,,1.24,1.09,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP2,2,16,33,Cg,s,,,,1.27,0.21,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP3,3,33,62,Cse1,fs,,,,1.36,0.14,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP4,4,62,116,Cse2,s,,,,1.26,0.17,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP5,5,116,120,Ab,s,,,,1.09,0.81,mineral
URI0802NP,RI009-2008-002-NP,Nagunt,RI0802NP6,6,120,144,C'se,fs,,,,1.36,0.2,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP1,1,0,9,A1,s,,,,1.27,0.42,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP2,2,9,20,A2,s,,,,1.3,0.31,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP3,3,20,35,CAse,s,,,,1.38,0.33,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP4,4,35,78,Cse,s,,,,1.1,0.17,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP5,5,78,104,Cg,s,,,,1.24,0.73,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP6,6,104,127,Aseb,sil,,,,1.23,1.06,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP7,7,127,145,CA'se,fsl,,,,1.19,1.01,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP8,8,145,174,C'se,lfs,,,,0.97,1,mineral
URI0803NP,RI009-2008-003-NP,Nagunt,RI0803NP9,9,174,226,2Cse,fsl,,,,0.7,2.69,mineral
URI0804NP,RI009-2008-004-NP,Pishagqua,RI0804NP1,1,0,12,A,fsl,,,,0.47,3.33,mineral
URI0804NP,RI009-2008-004-NP,Pishagqua,RI0804NP2,2,12,26,C/Ase,sil,,,,0.64,2.66,mineral
URI0804NP,RI009-2008-004-NP,Pishagqua,RI0804NP3,3,26,49,Cse1,sil,,,,0.64,2.98,mineral
URI0804NP,RI009-2008-004-NP,Pishagqua,RI0804NP4,4,49,128,Cse2,sil,,,,0.63,2.31,mineral
URI0804NP,RI009-2008-004-NP,Pishagqua,RI0804NP5,5,128,141,Cse3,sil,,,,0.58,3.11,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP1,1,0,11,Ase,s,,,,1.17,0.46,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP2,2,11,27,CAse,s,,,,1.15,0.58,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP3,3,27,64,Cse1,sl,,,,1.08,1.48,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP4,4,64,76,Cse2,ls,,,,1.18,0.58,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP5,5,76,109,Cse3,s,,,,1.06,0.54,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP6,6,109,142,2C1,silcos,,,,1.5,0.82,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP7,7,142,162,2C2,sil,,,,1.32,0.78,mineral
URI0805NP,RI009-2008-005-NP,Napatree,RI0805NP8,8,162,170,2C3,sl,,,,1.39,0.59,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP1,1,0,3,A,sl,61.4,34.6,4,1.01,1.65,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP2,2,3,10,Ase,s,93.6,5.7,0.7,1.36,0.41,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP3,3,10,27,CAse,cos,92.5,6,1.5,1.13,0.38,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP4,4,27,38,CA,fs,98,0,2,1.45,0.52,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP5,5,38,48,Cg,cos,93.5,5.3,1.2,1.01,0.24,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP6,6,48,71,Cse,cos,96.8,2.7,0.5,0.94,0.19,mineral
URI0806NP,RI009-2008-006-NP,Anguilla,RI0806NP7,7,71,94,C'g,cos,95.3,3.9,0.8,0.84,0.25,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP1,1,0,5,A,cosl,62.6,28.8,8.6,0.43,2.48,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP2,2,5,19,Ase,cosl,64.1,27.1,8.8,0.42,3.25,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP3,3,19,40,CAse,cos,94.1,4.6,1.3,0.99,0.44,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP4,4,40,50,Cg,cosl,67,22.4,10.6,0.64,2.89,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP5,5,50,64,2Oab,muck,,,,0.29,9.37,mucky_min
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP6,6,64,79,2Ab,sl,62.2,33.3,4.5,0.9,2.24,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP7,7,79,100,2AC1,sl,65.5,31.9,2.6,0.97,1.51,mineral
URI0807NP,RI009-2008-007-NP,Billington,RI0807NP8,8,100,130,2AC2,sl,72,25.5,2.5,1.46,1.09,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP1,1,0,21,C1,lfs,72.6,27.4,0,0.97,0.62,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP2,2,21,35,Cg1,lfs,71,28.3,0.7,0.67,0.44,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP3,3,35,58,Cg2,fsl,65.2,33.6,1.2,0.91,2.22,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP4,4,58,68,Ab,lfs,73.5,23.8,2.7,0.78,2.4,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP5,5,68,75,Cg,sil,30.1,69.9,0,1.11,0.64,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP6,6,75,86,C/A,lfs,83,17,0,0.84,2.08,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP7,7,86,93,C'g,fsl,70.3,29.2,0.5,1.04,0.43,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP8,8,93,103,A'b,vfsl,59.1,36,4.9,0.89,2.45,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP9,9,103,127,CA1,cos,99,0,1,0.98,2.98,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP10,10,127,137,CA2,fs,90,10,0,1.03,2.53,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP11,11,137,158,2Aseb,sil,25.4,57.4,17.2,0.72,4.14,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP12,12,158,172,2ACse1,sil,4.1,70.3,25.6,0.56,4.27,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP13,13,172,199,2ACse2,sil,22.7,66.3,11,0.79,3.64,mineral
URI0808NP,RI009-2008-008-NP,Nagunt,RI0808NP14,14,199,214,2A'seb,sil,28.9,61.5,9.6,0.96,2.33,mineral
URI0809NP,RI009-2008-009-NP,Pishagqua,RI0809NP1,1,0,24,Ase,sil,23.3,58.5,18.2,0.44,5.31,mineral
URI0809NP,RI009-2008-009-NP,Pishagqua,RI0809NP2,2,24,35,ACse1,l,44.2,44.5,11.3,0.4,5.3,mineral
URI0809NP,RI009-2008-009-NP,Pishagqua,RI0809NP3,3,35,48,ACse2,ls,76.4,19.5,4.1,1.18,0.69,mineral
URI0809NP,RI009-2008-009-NP,Pishagqua,RI0809NP4,4,48,56,2Cse1,s,92.1,5.9,2,1.42,0.24,mineral
URI0809NP,RI009-2008-009-NP,Pishagqua,RI0809NP5,5,56,77,2Cse2,cos,96,3,1,1.28,0.18,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP1,1,0,5,Ase,fs,88.8,7.7,3.5,0.88,1.28,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP2,2,5,13,CAse1,fs,95.2,2.8,2,1.03,0.68,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP3,3,13,23,CAse2,lfs,84.6,12.4,3,0.86,1.08,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP4,4,23,34,CAse3,fs,91.9,5.9,2.2,0.81,0.99,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP5,5,34,43,Cse,fs,96,4,0,0.82,0.4,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP6,6,43,53,C/A,lfs,83.8,12.4,3.8,1.06,1.26,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP7,7,53,74,Aseb,vfsl,,,,0.94,1.79,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP8,8,74,103,CA'se,ls,78.6,21.1,0.3,1.02,0.75,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP9,9,103,150,A'seb,lfs,73.9,26.1,0,1.07,1.01,mineral
URI0810NP,RI009-2008-010-NP,Nagunt,RI0810NP10,10,150,200,ACse,vfsl,58.8,41.2,0,0.97,1.62,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP1,1,0,27,Ase,l,44.8,45.4,9.8,0.56,5.82,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP2,2,27,52,ACse,sil,22.3,61,16.7,0.56,4.63,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP3,3,52,76,C,ls,80,20,0,1.28,0.88,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP4,4,76,100,2Cse,sil,39.5,58.2,2.3,0.92,0.78,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP5,5,100,126,3Cg1,lcos,79.7,20.3,0,1,0.23,mineral
URI0811QP,RI009-2008-011-QP,Fort Neck,RI0811QP6,6,126,168,3Cg2,lcos,82.6,17.1,0.3,1.17,0.19,mineral
URI0812QP,RI009-2008-012-QP,Napatree,RI0812QP1,1,0,13,Cg,s,92.4,6.6,1,1.3,0.3,mineral
URI0812QP,RI009-2008-012-QP,Napatree,RI0812QP2,2,13,23,Cse,ls,83.2,15.1,1.7,1.07,0.36,mineral
URI0812QP,RI009-2008-012-QP,Napatree,RI0812QP3,3,23,38,C'g,lfs,83,15.4,1.6,1.56,0.23,mineral
URI0812QP,RI009-2008-012-QP,Napatree,RI0812QP4,4,38,48,2Cg1,sil,21.3,73.9,4.8,1.73,0.38,mineral
URI0812QP,RI009-2008-012-QP,Napatree,RI0812QP5,5,48,93,2Cg2,sil,29.7,66.5,3.8,1.32,0.61,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP1,1,0,6,Cg,s,,,,1.17,0.29,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP2,2,6,28,AC,cos,98.1,1.9,0,1.63,0.16,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP3,3,28,86,Cse1,cos,98.3,0.1,1.6,1.16,0.12,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP4,4,86,98,Cse2,cos,98.6,0.4,1,1.23,0.15,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP5,5,98,104,Cse3,fs,93.9,4.9,1.2,1.15,0.24,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP6,6,104,114,CAseb,fs,96.3,3.7,0,1.1,0.36,mineral
URI0813QP,RI009-2008-013-QP,Nagunt,RI0813QP7,7,114,118,Aseb,cos,97.6,2.4,0,1.55,0.32,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP1,1,0,14,Cg1,fs,92.9,4.7,2.4,0.89,0.52,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP2,2,14,33,Cg2,fs,97.5,2.4,0.1,1.14,0.25,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP3,3,33,42,CAse,fs,97,1.5,1.5,0.97,0.38,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP4,4,42,47,Aseb,fs,95.5,3.7,0.8,1.01,1.11,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP5,5,47,55,CA'se,fs,97.2,1,1.8,1.09,0.44,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP6,6,55,90,C'g1,fs,95.9,2,2.1,0.85,0.33,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP7,7,90,108,C'g2,fs,97.2,1.8,1,0.94,0.2,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP8,8,108,137,C'g3,fs,99.3,-0.4,1.1,0.84,0.28,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP9,9,137,146,C/A,fs,98.2,1.6,0.2,0.92,0.85,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP10,10,146,172,C''g,fs,98.7,0.5,0.8,0.75,0.23,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP11,11,172,186,Oab,fs,97.3,2,0.7,0.69,2.89,mineral
URI0901QP,RI009-2009-001-QP,Massapog,RI0901QP12,12,186,198,C'''g,fs,97,2.8,0.2,0.91,0.34,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP1,1,0,14,CA,fs,95.2,4.4,0.4,1.16,0.35,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP2,2,14,45,ACse,fs,91.2,8.3,0.5,1.44,0.61,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP3,3,45,64,Cg,s,93.2,6,0.8,1.55,0.34,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP4,4,64,93,AC'se,fs,92.7,6.7,0.6,1.37,0.32,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP5,5,93,104,Aseb,fs,90.6,8.7,0.7,1.56,0.57,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP6,6,104,115,Cse,fs,,,,1.5,0.5,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP7,7,115,145,C'g1,s,96.8,3,0.2,1.52,0.12,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP8,8,145,159,C'g2,fs,97.6,2.2,0.2,1.12,0.21,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP9,9,159,172,CA',fs,97.5,2,0.5,1.59,0.33,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP10,10,172,184,C''g,fs,97.4,2.4,0.2,1.28,0.22,mineral
URI0902QP,RI009-2009-002-QP,Massapog,RI0902QP11,11,184,273,C/A,lfs,80.5,18.1,1.4,1.05,0.89,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP1,1,0,19,Cg1,cos,97.6,2,0.4,1.43,0.13,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP2,2,19,35,Cg2,s,99.4,0.6,0,1.32,0.09,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP3,3,35,55,Cg3,cos,99.1,0.9,0,1.31,0.11,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP4,4,55,74,Cg4,cos,98.8,1.1,0.1,1.61,0.14,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP5,5,74,108,Cse1,s,100.1,-0.2,0.1,1.25,0.12,mineral
URI0903QP,RI009-2009-003-QP,Nagunt,RI0903QP6,6,108,118,Cse2,s,99.3,0.6,0.1,1.47,0.16,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP1,1,0,25,Cg,s,98.1,0.5,1.4,1.47,0.12,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP2,2,25,36,Cse1,s,99,-0.1,1.1,1.49,0.1,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP3,3,36,60,Cse2,s,99.2,0.1,0.7,1.22,0.12,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP4,4,60,76,C'g1,s,98.2,0.2,1.6,1.48,0.09,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP5,5,76,83,C'g2,s,97.7,-0.7,3,1.52,0.17,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP6,6,83,93,C'g3,s,99.1,-1.4,2.3,1.67,0.14,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP7,7,93,103,C'g4,cos,99.5,-1.6,2.1,1.33,0.13,mineral
URI0904QP,RI009-2009-004-QP,Nagunt,RI0904QP8,8,103,121,CA,s,98.3,-0.3,2,1.66,0.15,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP1,1,0,5,A,l,43.7,46.6,9.7,0.83,1.9,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP2,2,5,17,CA1,ls,80.6,17.6,1.8,1.07,0.77,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP3,3,17,41,CA2,ls,78.9,18.9,2.2,0.76,0.48,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP4,4,41,53,2C1,fsl,51.7,44.8,3.5,1.63,0.88,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP5,5,53,74,2C2,sil,35.7,59.1,5.2,1.58,0.77,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP6,6,74,109,2C3,sil,40,57.3,2.7,1.7,0.54,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP7,7,109,114,2C4,sil,39.8,56.1,4.1,1.43,0.66,mineral
URI0905QP,RI009-2009-005-QP,Napatree,RI0905QP8,8,114,120,2C5,sil,39.3,56.8,3.9,1.52,0.78,mineral
URI0906QP,RI009-2009-006-QP,Napatree,RI0906QP1,1,0,10,A,l,51.7,39.4,8.9,0.82,2.08,mineral
URI0906QP,RI009-2009-006-QP,Napatree,RI0906QP2,2,10,25,A/Cse,lcos,85.4,11.5,3.1,1.06,0.6,mineral
URI0906QP,RI009-2009-006-QP,Napatree,RI0906QP3,3,25,35,2Cg,cos,94.5,4.9,0.6,0.77,0.42,mineral
URI0906QP,RI009-2009-006-QP,Napatree,RI0906QP4,4,35,57,2Cse,cos,97.7,1.9,0.4,1.23,0.26,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ1,1,0,21,Cg1,s,94.5,4.9,0.6,1.16,0.37,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ2,2,21,56,Cg2,fs,97.9,1.9,0.2,1.22,0.26,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ3,3,56,79,Cg3,fs,98.2,1.4,0.4,1.36,0.3,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ4,4,79,98,AC,vfsl,70.3,25,4.7,1.01,1.88,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ5,5,98,128,Cse,fs,93.7,5.9,0.4,1.41,0.63,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ6,6,128,152,C'g1,fs,90,7.2,2.8,1.39,0.84,mineral
URI0907PJ,RI009-2009-007-PJ,Massapog,RI0907PJ7,7,152,167,C'g2,fs,97.5,1.4,1.1,1.57,0.31,mineral
