KSSL.Project.lab,KSSL.Project.name,Site,UserPedonID,Field,Soil,Comp,Crop,Cover_kind,Mgmt,layerID,labsampno,hor_desg,hor_top,hor_bot,ADOD,AggStab,Bgluc,Pom_C,Pom_N,Pom_S,POX_C,CaCarb,Ca_amextr,CEC_ph7,Mg_amextr,K_amextr,Na_extr,CEC_NH4OAc,BD_3inCore,FM_core3,BD_4inCore,BD_comp_cav,FM_core4,BD_Clod_13,BD_Clod_OD,WRC_core13,BD_recon13,BD_reconOD,FM_recon_moist,Mehlich3_Al,X,X,X,Mehlich3_Ca,X,X,X,Mehlich3_Fe,X,Mehlich3_Mg,Mehlich3_Mn,X,X,El_Mehlich3_P,Mehlich3_K,X,X,X,X,X,X,WaterSol_P,X,Clay_h2oDisp,X,X,X,X,X,X,X,KCL_AL,KCL_Mn,Mehlich3_P,X,X,X,X,X,X,X,Tot_P,X,X,X,X,X,X,Tot_C,Tot_N,Tot_S,NewZ_P,Oxal_AL,Oxal_Fe,Oxal_Mn,X,Oxal_P,X,ph_h20,ph_Cacl2,EC_test,Clay,X,X,sand_coarse,sand_fine,sand_medium,sand_vcoarse,sand_vfine,silt_fine,x,x,x,x,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Est_OC,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Sand,X,X,X,X,X,X,Silt,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003A,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003A-1,16N01442,Ap1,0,5,1.014308895,12,138,0.71564582,0.0597979,0.004822411,804.2978022,,8.9940076,10.7159443,0.7820876,0.6354462,0,60.262742,1.1627907,27.7992278,,,,1.52697881,1.63300727,21.2371716,1.27639575,1.36620501,25.3007211,318.4888812,0.0709936,24.3532338,0.4969122,765.4653218,0.0811285,0.704801,0.8315673,126.9610404,4.1427252,43.0840657,119.7656845,0,0.3244837,31.254365,118.3695027,299.4041462,12.235325,3.7978256,3.0676446,7.9640197,10.0564334,0.0902735,0,4.4194099,0.9292835,5.0100504,2.8989606,0.3030272,14.1917758,33.9767477,34.13767,,,27.1537675,1.16283,-2.499298,36125.441,2368.99754,16872.05676,1719.294149,405.951778,569.313325,9842.743972,343141.8656,2291.385667,47.531529,5059.534043,204.018091,1.95761617,0.21300487,0.00608585,17,0.06552798,0.25508368,310.0693038,0.0499,176.7395031,0.0097155,6,5.61,0.175,17.8094988,,17.8094988,0.6188508,2.0453544,1.7516625,0.136357,13.1112463,33.5559588,,,,,,,,,,,,,,,,,,0.22735906,6.23607636,93.07721555,0.66911994,0.07733852,31.41756004,4.67624745,6.2187663,14.6078702,299.0257532,26.319392,0.7739926,8.34871375,430.4945604,455.0218047,0.04818473,18.942168,0.74281424,0.01558918,45.3741265,31.47677867,0.19306982,,97,57,1.8513,1.24,,18.4,0,0,0,0,0,1,1,0.021328359,0.021328359,82.4,95.5,97.5,99.3,0.000729168,99.9,0.018170352,0.02578851,1.96,1.96,,0,,1.1323911,35.3670232,0.510167,2.1328359,2.1328359,1.2904649,1.2904649,0.15,100,100,100,17.8,51.4,100,100,31.170784,100,89.809229,100,98.8473,10,32,0.56741573,0.6011236,,9.201878,0.117977528,1.03370787,9.192488,17.6,48.6,23.3,1,0.077724,31,38.3,64.6,72.3,0.01,10.4,0.73202614,0.73202614,10.333817,100,0,37.503628,0,0,0,0,0,0,10.217707,35,0.16983,0.16983,15.93674,1.58614568,1.85436,1.53,1.63300727,1.95264151,1.95264151,0,21.654501,21.654501,100,100,0,0,40.875912,78.588808,37.712895,21.411192,2.43309,4.5,2.189781,0.729927,0.121655,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003A,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003A-2,16N01443,Ap2,5,10,1.013864533,8,40,0.21506047,0.02184208,0.000672064,585.3909092,,7.4794761,9.5214046,0.5412779,0.4182602,0,60.66772027,1.42542855,21.5434084,,,,1.57618265,1.63188083,21.1795451,1.32821166,1.45025142,20.4338677,333.1805746,0.0709989,25.2701235,0.5017658,660.3922539,0.0760216,0.653803,0.7601798,73.6770768,3.4717534,28.3311522,102.2814009,0,0.3294311,15.2706655,70.0893086,320.5000319,11.3580086,3.2537704,2.0779649,2.6420784,9.4806517,0.0537348,0,5.7841531,0.6852283,3.7989863,2.0859155,0.1309995,14.0371031,38.2643973,24.518798,0.0980027,1.4881062,9.2252356,1.399775,-3.023573,36855.94064,2265.048393,18758.08968,1779.724621,490.032159,357.726893,9994.140232,341653.7128,2371.822522,48.817577,5394.344315,233.730246,1.23691473,0.15207968,0.00202773,15,0.06761404,0.24581078,302.1736731,0.0403,121.0837768,0.00728646,5.32,5,0.257,18.1589564,,18.1589564,0.2582138,2.0450531,2.024396,0.206571,12.611161,33.2085025,0,1.5614667,0,5.4485,0,0.3422418,0.725,0,0.4794,2.7845161,1.8113043,5.44,0,0.4991,-1.7080998,0.5753425,49.1681807,0.23348999,6.73657772,94.42772883,0.7199442,0.06273914,33.20024892,5.32048,6.08800556,15.26910101,341.422696,37.041189,0.784691,8.74995207,362.1979849,532.630219,0.0473806,18.49298946,0.75939457,0.01134324,46.63044059,30.95097539,0.19051943,1,88,76,1.9118,1.02,8.5,11,0,0,0,0,0,1,1,0.010439168,0.010439168,82.9,95.5,97.5,99.5,0.00070873,99.8,0.01814936,0.02568467,1.24,1.24,,,0.882056,1.1291428,36.240434,0.491622,1.0439168,1.0439168,0.6289474,0.6289474,0.13,100,100,100,18.2,51.4,100,100,31.411608,100,90.026434,100,98.997,7,33,0.52197802,0.52197802,0.46703297,8.157895,0.054945055,0.6043956,8.138158,17.1,48.6,20.7,0,0.058292,31.5,35.2,64.7,73.5,0,8.4,0.67721519,0.67721519,10.901468,100,0,38.754118,0,0,0,0,0,0,10.242588,26,0.18486,0.18486,15.403423,1.60953054,1.91496,1.58,1.63188083,1.98377358,1.98377358,0,22.249389,22.249389,100,100,0,0,40.586797,79.095355,38.508557,20.904645,2.444988,4.5,2.444988,0.366748,0.244499,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003A,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003A-3,16N01444,Ap3,10,19,1.01472634,,12,0.066572,0.016643,0,365.1554202,,7.260839,9.4143491,0.5433281,0.2469673,0,60.79711576,,,,,,1.66167295,1.75021276,21.2096418,,,,384.5609883,0.1725035,30.2692867,0.4972159,690.815545,0.1014726,0.7407502,1.0045791,77.5149451,3.6022785,30.0967832,106.1302279,0,0.2841234,6.7276356,52.2584065,388.1632668,13.1711479,3.4196278,1.2481134,2.1840468,9.6442688,0.044648,,,,,,,,,19.966834,,,4.2128359,1.29245,-2.245998,38960.85619,2176.885314,19294.377,1896.542809,451.438557,231.290634,10250.82434,345420.3734,2429.744971,49.573441,5405.434022,231.445887,0.79148655,0.1116199,0.00710308,17,0.08367962,0.26428462,279.6328889,0.0495,87.2538713,0.01650465,5.65,5.18,0.111,19.6968294,,19.6968294,0.4200174,1.7620243,1.5776264,0.1741536,12.5902781,33.5133944,,,,,,,,,,,,,,,,,,0.24678145,6.73565197,93.94417634,0.6893036,0.05520111,33.23543329,4.9193933,5.74649674,14.38709447,308.1497611,29.224119,0.71964392,9.06160769,265.9767196,490.5187128,0.04271998,17.58419275,0.76561102,0.01430764,45.99551554,27.44743424,0.21582193,,85,78,2.0086,0.72,,10.2,0,0,0,0,0,1,1,0.017755177,0.017755177,83.4,96,97.8,99.4,0.000643642,99.8,0.016051204,0.02458286,0.79,0.79,,0,,1.0416187,38.1933869,0.528569,1.7755177,1.7755177,0.994101,0.994101,0.09,100,100,100,19.7,53.2,100,100,33.03099,100,90.526434,100,98.9976,2,35,0.48730964,0.47715736,,7.053571,0.091370558,0.5177665,7.0625,16.6,46.8,,1,0.132037,30.2,,63.7,,0.01,8,0.59638554,0.59638554,12.389937,100,0,40.062893,0,0,0,0,0,0,10.440252,21,0.19256,0.19256,15.691158,1.71291434,2.01192,1.66,1.75021276,2.03358491,2.03358491,0,24.533001,24.533001,100,100,0,0,41.718555,79.327522,37.608966,20.672478,2.241594,4,1.992528,0.498132,0.249066,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003B,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003B-1,16N01445,Ap1,0,5,1.014033596,6,86,0.43517445,0.04327702,0.001923423,656.3062028,,7.6040678,10.0311603,0.6387934,0.4422416,0,60.59660214,1.25625853,26.8115942,,,,1.46361677,1.52713196,20.9675433,1.29095017,1.43690095,19.877577,323.6132996,0,18.3292044,0.4964793,645.8587481,0.0709256,0.8713718,0.749785,137.119471,3.7083962,33.4363596,119.6616384,0,0.3039669,68.4837438,76.1335775,287.6337502,12.2599985,2.9890079,2.9687434,5.7406446,8.8589744,0.4167678,,5.4397395,0.819183,10.3257517,3.1149182,0.1719273,12.7630741,33.0037925,29.158713,,,63.3770998,0.88496,-2.773098,32199.84184,2008.439558,15943.4241,1552.950877,386.937982,440.215307,8891.704678,340568.6336,2119.88692,44.623562,4802.869738,201.705479,1.45006804,0.17238571,0.0091263,14,0.06958718,0.23884463,302.9718912,0.0419,294.4073148,0.00642343,5.53,5.12,0.156,16.9894552,,16.9894552,0.3344237,3.542801,2.5081777,0.1149581,17.7871602,27.0992298,,,,,,,,,,,,,,,,,,0.22815756,6.31446336,81.75796169,0.61232799,0.05370771,31.72101498,5.12297388,5.43249461,13.51911193,308.9845538,23.847826,0.74689787,8.03932248,539.3417241,409.9220792,0.02805627,17.57624833,0.71523437,0.01332673,43.2937235,31.69686655,0.1890095,,86,60,1.7666,1.01,,14.3,0,0,0,0,0,1,1,0.015732913,0.015732913,75.8,93.6,97.1,99.6,0.000774935,99.9,0.0237189,0.03166851,1.45,1.45,,0,,1.4844878,40.8660231,0.477689,1.5732913,1.5732913,0.9050266,0.9050266,0.13,100,100,100,17,44.1,100,100,27.784174,100,87.476482,100,98.97125,14,31,0.52352941,0.58823529,,8.430233,0.094117647,0.84117647,8.430233,24.2,55.9,27.2,0,0.051387,31.7,34.4,58.8,67.4,0.01,8.6,0.81506849,0.81506849,9.433962,100,0,32.630411,0,0,0,0,0,0,13.429523,30,0.17666,0.17666,21.445783,1.50321429,1.7666,1.46,1.52713196,1.9090566,1.9090566,0,20.481928,20.481928,100,100,0,0,32.650602,70.843373,38.192771,29.156627,4.216867,6.4,3.012048,0.361446,0.120482,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003B,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003B-2,16N01446,Ap2,5,10,1.0136232,4,36,0.17221589,0.02870265,0.00022079,510.2537883,,7.8000309,9.4634589,0.5150964,0.2698124,0,60.44843935,1.47364614,20.5521472,,,,1.56525764,1.67985246,20.2952899,1.39557922,1.45914005,24.5397898,348.0254807,0.2632262,20.1874217,0.4758319,681.5330261,0.0911167,0.9212916,0.6985617,96.7558622,4.5659615,27.7602359,128.6973444,0,0.3239707,44.1511264,53.2223049,321.8547258,14.0522273,3.0372249,2.9056118,5.4778088,8.4031414,0.1870135,,5.8071507,0.6576019,9.3784145,2.4179515,0.2326899,13.698353,35.4926551,25.000817,,,41.4065077,1.30145,-2.762723,35080.50763,2134.42489,16747.3349,1594.849947,460.308595,554.663738,9160.893348,354934.7313,2154.068908,46.627681,5001.816934,229.190342,1.06430436,0.16217971,0.00608174,14,0.06772039,0.20451349,329.759802,0.0414,256.9421801,0.00957032,5.56,5.18,0.182,15.3266186,,15.3266186,0.5366246,3.1887887,2.0949,0.0825576,17.7189325,29.7005016,,,,,,,,,,,,,,,,,,0.31774356,5.86707768,74.47621752,0.54201528,0.0789048,28.65225492,5.02320096,5.11697628,18.0606006,319.7146626,27.21204,0.65531448,7.48877364,438.4411978,409.1922,0.02963988,15.52785768,0.6388254,0.02700972,38.95256844,28.87035588,0.16997714,,91,61,1.884,0.89,,14.1,0,0,0,0,0,1,1,0.022829416,0.022829416,76.4,94.1,97.3,99.4,0.000900793,99.9,0.023141752,0.03098338,1.06,1.06,,0,,1.4002497,34.3956847,0.409027,2.2829416,2.2829416,1.4646431,1.4646431,0.13,100,100,100,15.3,45,100,100,27.118818,100,88.033327,100,98.87185,10,31,0.54901961,0.62091503,,6.54321,0.150326797,0.92156863,6.567901,23.6,55,26.4,0,0.076563,31.4,32.3,61.1,67.8,0.01,8.6,0.68789809,0.68789809,9.021226,100,0,36.025943,0,0,0,0,0,0,13.915094,26,0.18683,0.18683,20.897285,1.63911299,1.88871,1.57,1.67985246,1.97754717,1.97754717,0,18.063754,18.063754,100,100,0,0,35.064935,72.136954,37.072019,27.863046,3.77804,5.9,2.479339,0.590319,0.118064,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003B,A,Chenneby,Cover Crop,Corn/Soybean,Radish/rye/Phoenix Harrow,No-Till,S2015TN071003B-3,16N01447,Ap3,10,19,1.014145406,,26,0.09846639,0.02060924,0,365.9706758,0.030015,8.843182,9.595001,0.511589,0.1948911,0,60.00592651,,,,,,1.63791788,1.84474461,20.9006326,,,,328.4922804,0.0101374,23.0727204,0.50687,791.7004575,0.0912366,1.1759383,0.5879691,72.6547394,3.4467157,26.2355889,148.9690798,0,0.3345342,30.7568689,42.3743282,355.3969377,15.3885718,3.3960287,2.0274798,4.620036,7.98573,0.1125701,,,,,,,,,20.883753,,,26.9129242,1.412825,-2.414898,36401.71086,2353.380193,17124.1119,1696.261634,473.703263,532.129194,9307.197766,362065.4679,2189.80868,47.645565,5070.829459,218.3881,0.81131632,0.1318389,0.00507073,14,0.06424696,0.1985532,329.0191476,0.031,176.4455997,0.01297394,6.24,5.77,0.141,17.7176702,,17.7176702,0.246361,3.1616334,1.8374428,0.0923854,18.6618489,27.6478064,,,,,,,,,,,,,,,,,,0.22808171,6.06305417,76.36191674,0.57606287,0.06616188,30.28628083,5.39880913,4.99810048,13.03722303,345.3318643,25.050604,0.99404432,8.13134514,401.8191574,470.1028605,0.03202033,15.7770318,0.64737629,0.01282833,41.14248518,29.28496376,0.16352356,,99,67,1.9844,0.71,,14.1,0,0,0,0,0,1,1,0.039101548,0.039101548,76,94.7,97.9,99.7,0.000734517,99.9,0.023011896,0.0310152,0.81,0.8064,,0,,1.3670614,42.2253067,0.397106,3.9101548,3.9101548,2.5753812,2.5753812,0.11,100,100,100,17.7,45.3,100,100,28.683144,100,88.305052,100,99.2473,4,34,0.4519774,0.54237288,,6.136364,0.220338983,0.79661017,6.116667,24,54.7,,0,0.103792,30.7,,58.3,,0.01,9.5,0.61585366,0.61585366,10.949582,100,0,36.065574,0,0,0,0,0,0,14.846891,22,0.21156,0.21156,22.72175,1.77237558,1.98276,1.64,1.84474461,2.02113208,2.02113208,0,21.506683,21.506683,100,100,0,0,33.535844,70.838396,37.302552,29.161604,3.888214,5.3,2.18712,0.243013,0.121507,0,0,0,0,0,0
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003C,B,Chenneby,No Cover Crop,Corn/Soybean,,No-Till,S2015TN071003C-1,16N01448,Ap1,0,5,1.012229016,2,66,0.32111222,0.03528706,0.001058612,657.5024081,0.067479,8.4733231,9.4277976,0.6593076,0.488376,0,60.40596602,1.21849903,28.030303,,,,1.45504433,1.5838068,17.0108979,1.33752427,1.41754282,27.3971911,359.8214814,0,32.3970015,0.5166501,778.9766832,0.1013039,0.9117355,1.4689072,161.7418782,4.7916766,37.8978057,252.2569528,0,0.4862589,132.3434734,94.0404519,336.2784446,14.1724219,4.2648961,4.3459392,2.2419247,8.6788814,0.6468143,,6.121498,0.6261741,4.9083968,3.6661482,0.2221908,10.3924698,38.7965136,28.278275,,,125.8712041,1.180975,-2.668348,33105.01171,2383.757831,14911.51105,1461.049337,727.870604,747.270985,8529.938524,365595.1481,2291.212769,47.67295,5111.095545,210.980918,1.39687604,0.17207893,0.01012229,14,0.07096159,0.22509099,680.6519895,0.0392,417.9079084,0.00713754,6.13,5.72,0.146,14.0192559,,14.0192559,0.7876464,2.0416623,3.4304073,0.1658203,11.35869,36.7329464,,,,,,,,,,,,,,,,,,0.20700083,5.48283969,100.3201958,0.72121317,0.07966242,27.60429505,5.54306731,6.42967871,15.21187888,594.8807169,31.885214,0.6550134,7.98557593,592.9038336,420.9860478,0.04676498,18.51397237,0.64519477,0.01234919,37.54812923,34.01443774,0.18350709,,100,,1.7082,1.08,,,0,0.058107,0.034736,0,0.058107,0.99965264,0.99968087,0.026679153,0.026670177,82.2,93.6,95.6,99,0.001035895,99.8,0.019140639,0.02621302,1.4,1.3916,18.28,0,,1.0968869,25.3047083,0.450182,2.6679153,2.6679153,1.3515148,1.3515148,0.13,100,100,100,14,50.7,100,100,28.604398,100,88.647726,100,98.1449,20,25,0.62142857,0.67142857,,8.081395,0.192857143,,8.073256,17.8,49.3,19.8,0,0.0571,31.5,35.3,68.2,74.1,0.01,9.7,0.81506849,0.81506849,7.761376,100,0,37.80899,0,0,0,0,0,0,9.868036,30.7474592,0.12118,0.12118,13.255814,1.52311787,1.7082,1.46,1.5838068,1.9090566,1.9090566,0.058107,16.27907,16.262791,99.941893,99.941893,0,0.058107,42.674419,79.223023,36.627907,20.676977,2.325581,6.4,3.953488,0.930233,0.232558,0.058107,0,0,0,0,0.058107
C2016USTN029,TN Soil Health 2016,S2015TN071003,S2015TN071003C,B,Chenneby,No Cover Crop,Corn/Soybean,,No-Till,S2015TN071003C-2,16N01449,Ap2,5,10,1.012157767,4,34,0.21018902,0.02335434,0.000333633,509.9235451,,8.6793252,9.5412955,0.5134249,0.244488,0,60.46029237,1.38068668,22.4188791,,,,1.61558532,1.64441416,14.9949241,1.39137402,1.47056173,20.7834075,359.3382837,0.0607538,36.2092454,0.516407,787.237194,0.1012563,0.8606784,1.6808542,134.4480875,5.1235677,29.0200496,205.8033875,0,0.4860301,83.3035409,51.296431,352.4933592,14.4593967,4.2527637,3.756608,7.9287176,8.5496183,0.3157932,,7.1448394,0.6017536,3.4588261,3.4689398,0.1314759,11.4232248,42.6660705,24.098451,,,78.0888425,1.524175,-2.761723,33489.05148,2346.683734,15069.36516,1511.208227,685.841139,594.785402,8497.951104,362647.3252,2318.961745,47.940853,5165.22631,210.279825,1.11337354,0.15182367,0.0070851,14,0.07693581,0.22431017,655.9138888,0.0385,360.9589011,0.00835362,5.97,5.61,0.211,15.1074975,,15.1074975,0.7321173,3.0109611,2.4541396,0.1340496,10.5692985,36.7546788,,,,,,,,,,,,,,,,,,0.17733004,5.39520576,110.4221613,0.72703292,0.07925195,28.55509614,5.4872109,6.32861765,16.58967066,535.7609161,25.911239,0.65193082,8.11679678,523.4251421,445.2482017,0.04534467,19.35994647,0.7448469,0.01174103,40.43600644,33.21547536,0.1890909,,99,54,1.863,0.9,,17.3,0,0,0,0,0,1,1,0.004098406,0.004098406,83.1,93.7,96.7,99.2,0.000918928,99.9,0.017758225,0.02537122,1.11,1.11,,0,,1.1071835,27.6095732,0.44862,0.4098406,0.4098406,0.2053394,0.2053394,0.13,100,100,100,15.1,51.9,100,100,29.744192,100,89.095254,100,98.57125,15,24,0.56291391,0.62913907,,7.302632,0.026490066,1.14569536,7.322368,16.9,48.1,19.1,0,0.066829,31.2,31.1,68,73.8,0.01,9.4,0.63580247,0.63580247,9.190505,100,0,41.387705,0,0,0,0,0,0,10.286062,25,0.1053,0.1053,12.485277,1.62943396,1.863,1.62,1.64441416,2.00867925,2.00867925,0,17.78563,17.78563,100,100,0,0,43.345112,80.094229,36.749117,19.905771,3.533569,6.3,2.944641,0.824499,0.117786,0,0,0,0,0,0
